epoch,train_accuracy,val_accuracy
1,0.35,0.36585365853658536
2,0.45,0.4146341463414634
3,0.4166666666666667,0.36585365853658536
4,0.7,0.7073170731707317
5,0.7,0.7073170731707317
6,0.7,0.7073170731707317
7,0.4,0.43902439024390244
8,0.7,0.7073170731707317
9,0.7,0.7073170731707317
10,0.7,0.7317073170731707
11,0.7,0.7073170731707317
12,0.7,0.7073170731707317
13,0.7,0.7073170731707317
14,0.7166666666666667,0.7073170731707317
15,0.7,0.7073170731707317
16,0.7,0.7073170731707317
17,0.6333333333333333,0.5853658536585366
18,0.38333333333333336,0.5365853658536586
19,0.7,0.7073170731707317
20,0.8166666666666667,0.7317073170731707
21,0.6,0.6097560975609756
22,0.7333333333333333,0.7560975609756098
23,0.7,0.7073170731707317
24,0.38333333333333336,0.5365853658536586
25,0.8,0.7804878048780488
26,0.9166666666666666,0.926829268292683
27,0.55,0.5365853658536586
28,0.8166666666666667,0.975609756097561
29,0.7166666666666667,0.8292682926829268
30,0.7,0.7073170731707317
