epoch,train_accuracy,val_accuracy
1,0.75,0.7317073170731707
2,0.3,0.3902439024390244
3,0.8,0.8048780487804879
4,0.6833333333333333,0.6585365853658537
5,0.65,0.6341463414634146
6,0.6833333333333333,0.6585365853658537
7,0.6833333333333333,0.6585365853658537
8,0.9333333333333333,0.9024390243902439
9,0.6833333333333333,0.6585365853658537
10,0.6833333333333333,0.6585365853658537
11,0.8833333333333333,0.8292682926829268
12,0.55,0.4878048780487805
13,0.3333333333333333,0.4146341463414634
14,0.7833333333333333,0.6585365853658537
15,0.6833333333333333,0.6829268292682927
16,0.9166666666666666,0.9024390243902439
17,0.6833333333333333,0.6585365853658537
18,0.8333333333333334,0.8292682926829268
19,0.65,0.6341463414634146
20,0.9166666666666666,0.9024390243902439
21,0.8833333333333333,0.8536585365853658
22,0.9333333333333333,0.8780487804878049
23,0.9333333333333333,0.8780487804878049
24,0.6666666666666666,0.6341463414634146
25,0.9333333333333333,0.8536585365853658
26,0.7,0.6829268292682927
27,0.8166666666666667,0.7073170731707317
28,0.8333333333333334,0.7560975609756098
29,0.8833333333333333,0.7560975609756098
30,0.7,0.6829268292682927
